condition_A,condition_B,frequency,percent
LTR,up,71,0.922077922077922
LTR,unchanged,473,0.6835260115606936
LTR,down,38,0.7755102040816326
SINE,up,1,0.012987012987012988
SINE,unchanged,55,0.07947976878612717
SINE,down,2,0.04081632653061224
LINE,up,4,0.05194805194805195
LINE,unchanged,159,0.22976878612716764
LINE,down,9,0.1836734693877551
Retroposon,up,1,0.012987012987012988
Retroposon,unchanged,5,0.0072254335260115606
Retroposon,down,0,0
