locus,class,tissue,RPKM
AluJb_dup97096,SINE,Kidney,25.323213040495126
AluJb_dup97096,SINE,Liver,39.25955609059055
AluJb_dup97096,SINE,Lung,10.288955014690355
AluJb_dup97096,SINE,mTEC-hi,22.05389139130322
AluJb_dup97096,SINE,mTEC-lo,0
AluJb_dup97096,SINE,Skeletal muscle,0
AluJb_dup97096,SINE,Ovary,24.624566845738077
AluJb_dup97096,SINE,Pancreas,0
AluJb_dup97096,SINE,Prostate,63.95991821026095
AluJb_dup97096,SINE,Skin (unexposed),156.37142556089927
AluJb_dup97096,SINE,Skin (sun exposed),172.8131084324723
AluJb_dup97096,SINE,Small intestine,50.71136987967312
AluJb_dup97096,SINE,Spleen,0
AluJb_dup97096,SINE,Stomach,23.975805614593767
AluJb_dup97096,SINE,Testis,12.315372628178396
AluJb_dup97096,SINE,Thyroid,65.17848494152611
AluJo_dup49122,SINE,Adipose,1230.2881380347055
AluJo_dup49122,SINE,Adrenal gland,1161.401635901718
AluJo_dup49122,SINE,Basal ganglia,65.71248510643743
AluJo_dup49122,SINE,Cerebellum,44.131572132385934
AluJo_dup49122,SINE,Frontal cortex,158.1123147680228
AluJo_dup49122,SINE,Spinal cord,276.07076227613703
AluJo_dup49122,SINE,Substantia nigra,339.78816387349616
AluJo_dup49122,SINE,Breast,923.4179623978733
AluJo_dup49122,SINE,Colon,834.5391890649984
AluJo_dup49122,SINE,ESC,434.66526660198883
AluJo_dup49122,SINE,Esophagus,1714.1187903245582
AluJo_dup49122,SINE,Heart,225.88903425810614
AluJo_dup49122,SINE,Kidney,1206.172213568684
AluJo_dup49122,SINE,Liver,1003.3386764664648
AluJo_dup49122,SINE,Lung,1725.030465478854
AluJo_dup49122,SINE,mTEC-hi,1548.0379415301516
AluJo_dup49122,SINE,mTEC-lo,1964.1620685420914
AluJo_dup49122,SINE,Skeletal muscle,164.9918274705225
AluJo_dup49122,SINE,Ovary,810.7770045992806
AluJo_dup49122,SINE,Pancreas,332.79993872206245
AluJo_dup49122,SINE,Prostate,1009.4909336959352
AluJo_dup49122,SINE,Skin (unexposed),1254.2825791488478
AluJo_dup49122,SINE,Skin (sun exposed),920.7408937603005
AluJo_dup49122,SINE,Small intestine,1110.7165250054384
AluJo_dup49122,SINE,Spleen,929.875070406268
AluJo_dup49122,SINE,Stomach,486.6301992828914
AluJo_dup49122,SINE,Testis,458.61049662183444
AluJo_dup49122,SINE,Thyroid,1494.7878314467116
AluSc_dup18269,SINE,Adipose,91.97971560137128
AluSc_dup18269,SINE,Adrenal gland,21.268340958533372
AluSc_dup18269,SINE,Basal ganglia,47.70644362176423
AluSc_dup18269,SINE,Cerebellum,0
AluSc_dup18269,SINE,Frontal cortex,0
AluSc_dup18269,SINE,Spinal cord,24.211391361606243
AluSc_dup18269,SINE,Substantia nigra,47.54158421590527
AluSc_dup18269,SINE,Breast,269.8973807847853
AluSc_dup18269,SINE,Colon,29.92425796853425
AluSc_dup18269,SINE,ESC,45.194844578884044
AluSc_dup18269,SINE,Esophagus,56.07460761771946
AluSc_dup18269,SINE,Heart,15.812702160850977
AluSc_dup18269,SINE,Kidney,9.385528087080674
AluSc_dup18269,SINE,Liver,188.49706030523737
AluSc_dup18269,SINE,Lung,78.43684871050421
AluSc_dup18269,SINE,mTEC-hi,29.892797253085313
AluSc_dup18269,SINE,mTEC-lo,45.763712197102926
AluSc_dup18269,SINE,Skeletal muscle,14.96352350852441
AluSc_dup18269,SINE,Ovary,69.89877325953319
AluSc_dup18269,SINE,Pancreas,34.70048764736054
AluSc_dup18269,SINE,Prostate,87.0523068954854
AluSc_dup18269,SINE,Skin (unexposed),206.06586522827845
AluSc_dup18269,SINE,Skin (sun exposed),83.98240233588928
AluSc_dup18269,SINE,Small intestine,209.93691597252587
AluSc_dup18269,SINE,Spleen,0
AluSc_dup18269,SINE,Stomach,37.387868212521
AluSc_dup18269,SINE,Testis,101.5871075457208
AluSc_dup18269,SINE,Thyroid,28.889300068800402
AluSc_dup34649,SINE,Adipose,1400.0801399460727
AluSc_dup34649,SINE,Adrenal gland,14492.945519059545
AluSc_dup34649,SINE,Basal ganglia,1399.851842054121
AluSc_dup34649,SINE,Cerebellum,10486.341029615647
AluSc_dup34649,SINE,Frontal cortex,1567.536006867522
AluSc_dup34649,SINE,Spinal cord,1699.5720414749694
AluSc_dup34649,SINE,Substantia nigra,1532.6373415476203
AluSc_dup34649,SINE,Breast,2254.559131673767
AluSc_dup34649,SINE,Colon,2210.4220354729423
AluSc_dup34649,SINE,ESC,8638.381702233775
AluSc_dup34649,SINE,Esophagus,2249.958125491652
AluSc_dup34649,SINE,Heart,1518.521388845807
AluSc_dup34649,SINE,Kidney,2798.480094604123
AluSc_dup34649,SINE,Liver,1446.539455296899
AluSc_dup34649,SINE,Lung,3153.2448168305855
AluSc_dup34649,SINE,mTEC-hi,3787.4195472136043
AluSc_dup34649,SINE,mTEC-lo,5918.7999852003095
AluSc_dup34649,SINE,Skeletal muscle,1603.2735161044118
AluSc_dup34649,SINE,Ovary,2221.3769387488833
AluSc_dup34649,SINE,Pancreas,2529.4368846679968
AluSc_dup34649,SINE,Prostate,1992.1449008523111
AluSc_dup34649,SINE,Skin (unexposed),2893.545002661002
AluSc_dup34649,SINE,Skin (sun exposed),2874.9387994626413
AluSc_dup34649,SINE,Small intestine,3010.8627914674444
AluSc_dup34649,SINE,Spleen,3601.3847118304357
AluSc_dup34649,SINE,Stomach,2911.6954989157302
AluSc_dup34649,SINE,Testis,4496.6784086660355
AluSc_dup34649,SINE,Thyroid,2649.0609465294733
AluSc5_dup4446,SINE,Adipose,382.24630643703824
AluSc5_dup4446,SINE,Adrenal gland,108.6672037160627
AluSc5_dup4446,SINE,Basal ganglia,63.864955089479245
AluSc5_dup4446,SINE,Cerebellum,132.96573642568694
AluSc5_dup4446,SINE,Frontal cortex,45.11906704685974
AluSc5_dup4446,SINE,Spinal cord,164.46445340991372
AluSc5_dup4446,SINE,Substantia nigra,204.47884707748946
AluSc5_dup4446,SINE,Breast,324.505667844631
AluSc5_dup4446,SINE,Colon,25.685078207595332
AluSc5_dup4446,SINE,ESC,120.17624892700422
AluSc5_dup4446,SINE,Esophagus,105.20883379422523
AluSc5_dup4446,SINE,Heart,35.373312762197294
AluSc5_dup4446,SINE,Kidney,205.89970538311113
AluSc5_dup4446,SINE,Liver,44.515027642882934
AluSc5_dup4446,SINE,Lung,48.55814111308647
AluSc5_dup4446,SINE,mTEC-hi,221.8193435741313
AluSc5_dup4446,SINE,mTEC-lo,229.56081043997122
AluSc5_dup4446,SINE,Skeletal muscle,171.6257402165781
AluSc5_dup4446,SINE,Ovary,270.18150192808815
AluSc5_dup4446,SINE,Pancreas,135.5558403193163
AluSc5_dup4446,SINE,Prostate,281.90479812084965
AluSc5_dup4446,SINE,Skin (unexposed),47.408916065140765
AluSc5_dup4446,SINE,Skin (sun exposed),240.9389591444021
AluSc5_dup4446,SINE,Small intestine,416.2795501072086
AluSc5_dup4446,SINE,Spleen,248.03970285915284
AluSc5_dup4446,SINE,Stomach,118.31737411559557
AluSc5_dup4446,SINE,Testis,533.9423378954021
AluSc5_dup4446,SINE,Thyroid,30.624699719576398
AluSc8_dup17637,SINE,Adipose,870.0568515837209
AluSc8_dup17637,SINE,Adrenal gland,393.3892838520788
