gene,pt214_mTEC.hi_new_Aligned.out.bam,pt214_mTEC.lo_new_Aligned.out.bam,pt221_mTEC.hi_new_Aligned.out.bam,pt221_mTEC.lo_new_Aligned.out.bam,pt226_mTEC.hi_new_Aligned.out.bam,pt226_mTEC.lo_new_Aligned.out.bam
ENSG00000005007.12,15529,14613,12804,10743,10086,8871
ENSG00000005020.13,1414,518,404,238,497,233
ENSG00000005022.6,11847,8023,9347,6285,9500,5197
ENSG00000005059.16,629,901,418,520,252,221
ENSG00000005073.6,5,0,2,0,6,0
ENSG00000005075.15,995,1155,877,760,727,598
ENSG00000005100.13,3345,4044,1988,2173,1428,2120
ENSG00000005102.14,1249,870,136,594,144,213
ENSG00000005108.16,1446,786,52,82,76,162
ENSG00000005156.12,5494,4823,2865,2685,2404,2197
ENSG00000005175.10,4392,3531,2056,1817,2156,2189
ENSG00000005187.12,1681,1314,798,650,928,938
ENSG00000005189.19,940,904,468,237,507,371
ENSG00000005194.15,2602,2303,1794,1622,1614,1205
ENSG00000005206.17,11026,10716,15515,12470,10019,6188
ENSG00000005238.19,1574,1279,1181,840,1089,588
ENSG00000005243.10,552,1408,462,1084,416,1048
ENSG00000005249.13,650,1528,248,380,185,299
ENSG00000005302.19,5444,4165,2533,2193,2442,2246
ENSG00000005339.15,21874,27049,9714,11084,9631,13440
ENSG00000005379.17,7690,12700,7461,7137,4610,6807
ENSG00000005381.8,2277,3652,1993,2274,550,618
ENSG00000005421.9,229,232,113,138,98,92
ENSG00000005436.14,3701,4145,1599,1926,1571,1984
ENSG00000005448.17,1449,1347,1219,1055,853,681
ENSG00000005469.11,6370,6238,1677,1720,2453,2866
ENSG00000005471.17,62,32,19,3,18,14
ENSG00000005483.21,47733,45493,10794,12349,13649,19057
ENSG00000005486.17,4003,4068,4844,4100,3342,2091
ENSG00000005513.10,1705,358,988,789,1202,165
ENSG00000005700.15,9826,8443,3633,3447,3487,3918
ENSG00000005801.18,7925,6746,2476,2559,2396,2839
ENSG00000005810.18,13798,12118,4925,4148,4937,4835
ENSG00000005812.11,11594,10438,5263,4496,4700,4913
ENSG00000005844.18,793,1003,332,440,339,303
ENSG00000005882.12,2650,3757,1438,1534,1325,1646
ENSG00000005884.18,15146,12758,16620,11050,13203,8539
ENSG00000005889.15,10608,11433,3103,3269,2733,3331
ENSG00000005893.16,52228,41881,20347,19264,18609,20711
ENSG00000005961.19,197,520,58,170,65,222
