refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name,tau,Adipose_Subcutaneous,Adrenal_Gland,Brain_Cerebellum,Brain_Frontal_Cortex_(BA9),Brain_Spinal_cord_(cervical_c1),Breast_Mammary_Tissue,Colon_Transverse,Esophagus_Mucosa,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Muscle_Skeletal,Ovary,Pancreas,Prostate,Skin_Not_Sun_Exposed_(Suprapubic),Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid
NM_001011705,11061,ENSG00000136110,CNMD,0.891206857091538,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8796,ENSG00000136155,SCEL,0.882115281512456,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,728441,ENSG00000133475,GGT2,0.873978601991799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,374860,ENSG00000180777,ANKRD30B,0.907999253647265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000223553,SMPD4P1,0.931922995462679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000169662,BCRP6,0.994105515679369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_001291911,4158,ENSG00000185231,MC2R,0.97203277799864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NA,ENSG00000214249,CTAGE11P,0.995566584715226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000225727,,0.83037616861995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_020805,57565,ENSG00000197705,KLHL14,0.829245999216047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,NA,ENSG00000214319,CXADRP1,0.985970400553658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000214335,CTAGE16P,0.998273406331264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000213232,PPP1R2P10,0.998670003173341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000230009,MTCO2P3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_181607,337882,ENSG00000184351,KRTAP19-1,0.99941407337916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NM_152719,220082,ENSG00000174015,CBY2,0.99700940746964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_175858,337880,ENSG00000182591,KRTAP11-1,0.995039049261198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,NA,ENSG00000187172,BAGE2,0.960339836214488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_001029871,343637,ENSG00000101282,RSPO4,0.811065385550553,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,91227,ENSG00000100121,GGTLC2,0.926951488752006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000183169,POM121L1P,0.965890018891523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_002509,4821,ENSG00000125820,NKX2-2,0.930977961987886,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001322182,1638,ENSG00000080166,DCT,0.901832485545223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NM_006237,5457,ENSG00000152192,POU4F1,0.943494534992827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_001190898,5173,ENSG00000101327,PDYN,0.926042358271759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,56245,ENSG00000205929,C21orf62,0.828129339013341,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,NA,ENSG00000226229,RPLP0P1,0.873369291680257,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_002196,3642,ENSG00000173404,INSM1,0.939004336562407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NA,ENSG00000211665,IGLV3-16,0.835316179538356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_001291719,23532,ENSG00000185686,PRAME,0.954667591014545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,29802,ENSG00000128218,VPREB3,0.800546480571477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
NM_033176,644524,ENSG00000125816,NKX2-4,0.996180091712535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,10047,ENSG00000125815,CST8,0.997889622315403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_001042517,81624,ENSG00000139734,DIAPH3,0.819700622601451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000211672,IGLV4-3,0.879946396762607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,NA,ENSG00000229266,POM121L8P,0.998538210514746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000217261,POM121L4P,0.99876586723633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000211661,IGLV3-22,0.938988999089649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
NM_001329457,150280,ENSG00000176635,HORMAD2,0.981101738451259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_153324,245936,ENSG00000180424,DEFB123,0.991407426835681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_017545,54363,ENSG00000101323,HAO1,0.994230704948591,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,164380,ENSG00000204663,CST13P,0.999467862331658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NM_012130,23562,ENSG00000159261,CLDN14,0.879387426180613,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,NA,ENSG00000228476,CSTP1,0.989308233722085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,NA,ENSG00000215478,CES5AP1,0.882857516380392,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
