refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name
NM_000961,5740,ENSG00000124212,PTGIS
NM_178161,256297,ENSG00000168267,PTF1A
NM_004625,7476,ENSG00000154764,WNT7A
NM_032649,84735,ENSG00000150656,CNDP1
,222967,ENSG00000155026,RSPH10B
NM_005061,6123,ENSG00000140986,RPL3L
NM_001676,479,ENSG00000075673,ATP12A
,728194,ENSG00000169402,RSPH10B2
NM_001366198,5271,ENSG00000166401,SERPINB8
,6529,ENSG00000157103,SLC6A1
NM_176875,887,ENSG00000110148,CCKBR
,83659,ENSG00000167858,TEKT1
NM_000315,5741,ENSG00000152266,PTH
NM_022082,63910,ENSG00000101194,SLC17A9
,150379,ENSG00000100341,PNPLA5
NM_000782,1591,ENSG00000019186,CYP24A1
NM_000905,4852,ENSG00000122585,NPY
,56062,ENSG00000102271,KLHL4
NM_172206,84254,ENSG00000004660,CAMKK1
NM_002315,4004,ENSG00000166407,LMO1
NM_001378924,3356,ENSG00000102468,HTR2A
,84867,ENSG00000110786,PTPN5
,5023,ENSG00000108405,P2RX1
NM_014229,6538,ENSG00000132164,SLC6A11
NM_001165966,83394,ENSG00000091622,PITPNM3
,6013,ENSG00000107018,RLN1
NM_015551,26032,ENSG00000173705,SUSD5
,3682,ENSG00000083457,ITGAE
,4435,ENSG00000125931,CITED1
NM_207103,388325,ENSG00000161929,SCIMP
NM_004170,6505,ENSG00000106688,SLC1A1
NM_001256749,51066,ENSG00000125046,SSUH2
,144110,ENSG00000151117,TMEM86A
,326,ENSG00000160224,AIRE
,1262,ENSG00000132259,CNGA4
NM_001313726,63982,ENSG00000134343,ANO3
NM_024333,79187,ENSG00000105255,FSD1
NM_152630,169966,ENSG00000174016,TENT5D
,50945,ENSG00000122145,TBX22
NM_001288614,1471,ENSG00000101439,CST3
NM_001304369,140731,ENSG00000124227,ANKRD60
NM_148957,55504,ENSG00000127863,TNFRSF19
,128861,ENSG00000131059,BPIFA3
NM_000953,5729,ENSG00000168229,PTGDR
NM_173050,80274,ENSG00000159307,SCUBE1
NM_001170738,440073,ENSG00000120645,IQSEC3
,8048,ENSG00000129170,CSRP3
,3689,ENSG00000160255,ITGB2
NM_144616,126306,ENSG00000167476,JSRP1
NM_022160,63951,ENSG00000176399,DMRTA1
NM_002234,3741,ENSG00000130037,KCNA5
NM_021954,2700,ENSG00000121743,GJA3
,5617,ENSG00000172179,PRL
NM_054110,117248,ENSG00000131386,GALNT15
NM_001887,1414,ENSG00000100122,CRYBB1
,9450,ENSG00000112799,LY86
,92747,ENSG00000125999,BPIFB1
NM_012443,9576,ENSG00000077327,SPAG6
NM_001029865,120237,ENSG00000109851,DBX1
NM_022052,56000,ENSG00000147206,NXF3
NM_001925,1669,ENSG00000164821,DEFA4
NM_001080423,80852,ENSG00000144596,GRIP2
NM_024607,79660,ENSG00000173281,PPP1R3B
NM_147199,259249,ENSG00000170255,MRGPRX1
NM_012242,22943,ENSG00000107984,DKK1
NM_006207,5157,ENSG00000104213,PDGFRL
NM_016615,6540,ENSG00000010379,SLC6A13
NM_007232,11255,ENSG00000101180,HRH3
NM_006408,10551,ENSG00000106541,AGR2
NM_020436,57167,ENSG00000101115,SALL4
NM_006998,10590,ENSG00000079689,SCGN
NM_080606,128408,ENSG00000125533,BHLHE23
NM_198465,203447,ENSG00000123572,NRK
NM_177550,284111,ENSG00000141485,SLC13A5
NM_176813,155465,ENSG00000173467,AGR3
,2678,ENSG00000100031,GGT1
NM_002176,3456,ENSG00000171855,IFNB1
,364,ENSG00000165269,AQP7
NM_080723,140767,ENSG00000152954,NRSN1
NM_003049,6554,ENSG00000100652,SLC10A1
