Probe Set ID,WT average,KO average,,Student TTEST,Gene Symbol,Entrez Gene
1447012_at,34.8811808,38.6044194,-0.903554083758607,0.255223351769953,Gm10791,100038614
1440098_at,14.9319739,16.5257114,-0.903560127523466,0.109084809344478,D030018L15Rik,402773
1456499_at,11.472144,12.6964052,-0.90357418649493,0.323490217543112,Rnf130,59044
1424201_a_at,47.8983442,53.0095552,-0.90357943995727,0.093669458968958,Seh1l,72124
1428175_at,266.249796,234.881078,-1.1335514902567,0.012344976904053,Tmem161b,72745
1451819_at,39.6874352,43.9218094,-0.903592901616663,0.214966126053774,Zswim6,67263
1419766_at,422.524946,467.600272,-0.903602866167708,0.105920837552775,Sik1,17691
1459373_at,13.855633,15.3336724,-0.903608257601747,0.465367737520605,,
1460524_at,11.377219,12.5905518,-0.903631483411235,0.082451709756235,6430711C07Rik,76225
1446692_at,13.04845,14.439989,-0.903632959831202,0.439667403785402,,
1450891_at,931.18563,1030.484626,-0.903638546859796,0.299385691723127,Srp19,66384
1443007_at,12.8674822,14.2393548,-0.903656266785346,0.376750143158791,,
1431223_at,8.7665906,9.70089,-0.903689310980745,0.06847043236495,2700054A10Rik///Tcte2,21646///72578
1422616_s_at,23.752686,26.2841216,-0.903689549206773,0.366381182356625,Wdr54,75659
1438484_at,23.6552994,26.1763236,-0.903690669533135,0.086025872530275,Ado,211488
1435684_at,114.5973172,126.807186,-0.90371311606899,0.176481234810816,Abcc5,27416
1442485_at,12.9797776,14.362481,-0.903728095445348,0.086911659087245,,
1431234_at,13.9068984,15.388068,-0.903745577417516,0.179161035230928,Itpripl1,73338
1427874_at,698.366508,616.18179,-1.13337738851387,0.006653327027707,Rnf114,81018
1434150_a_at,203.113584,224.743508,-0.903757291178351,0.161283579497509,Mettl7a1///Mettl7a2,393082///70152
1436943_at,26.5802684,29.4103218,-0.903773463641598,0.332117208600923,Cyb5d2,192986
1447909_s_at,2403.2254,2659.06262,-0.903786688558693,0.147567859363173,Selk,80795
1450934_at,5501.60536,4854.50626,-1.13329864364002,0.024132286370188,Eif4a2,13682
1449498_at,182.331488,201.740686,-0.903791355205365,0.2967723895,Marco,17167
1420275_at,19.382714,21.4455374,-0.903811065140294,0.089681252637077,,
1448950_at,450.859,498.841248,-0.903812589290932,0.398322698923144,Il1r1,16177
1445365_at,8.52511732,9.4323311,-0.903818709247813,0.080424340036152,Ms4a7,109225
1442432_x_at,29.6259172,32.7784084,-0.903824152730979,0.059801560285149,Atxn7l1,380753
1446040_at,33.0718288,36.5908084,-0.903828864300249,0.227905031572004,,
1416451_s_at,95.2885688,105.4276258,-0.903829220063874,0.065138912179898,Taf8,63856
