Ensembl,EntrezGene,ProbeSetID,WTaverage,KOaverage,FoldChange,StudentTTEST,GeneSymbol
ENSMUSG00000091754,100041151,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
NA,100041262,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
NA,100041374,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000096629,100041515,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000096003,100041678,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000079364,100041874,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
NA,100042054,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000090691,100042100,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000092167,100042149,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000091472,100042235,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000079386,100169868,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
ENSMUSG00000079396,100861615,1428301_at,4474.19106,1685.12872,-2.65510343921976,0.004113079685482,Gm10340///Gm10406///Gm2888///Gm2897///Gm3095///Gm3173///Gm3239///Gm3298///Gm3317///Gm3373///Gm3383///Gm3500///Gm3558///Gm3636///Gm3642///Gm3667///Gm3696///Gm3739///Gm5796///LOC100861615
