Ensembl,gene_symbol,Aire_pos_TEC,Aire_ko_TEC,fold_change,FDR_BH
ENSMUSG00000067220,Cnga1,11.5358412288,0.616416619216,0.053434908386,0.00207039601662
ENSMUSG00000063971,1700011A15Rik,11.5197127234,0.616416619216,0.0535097214678,8.74069090262e-4
ENSMUSG00000073408,Dpcr1,158.675551694,8.49456972438,0.0535342063331,3.2543861328e-25
ENSMUSG00000061815,Rufy4,44.5992375605,2.38837336564,0.0535518877963,2.87723160723e-5
ENSMUSG00000024678,Ms4a4d,11.5089603864,0.616416619216,0.0535597133469,5.03851119487e-4
ENSMUSG00000073457,Smok2b,11.5035842179,0.616416619216,0.0535847443317,8.5235466238e-4
ENSMUSG00000033715,Akr1c14,45.5802702806,2.44634319906,0.0536710990083,5.28767248363e-11
ENSMUSG00000014782,Plekhg4,45.5695179437,2.44634319906,0.0536837629505,8.10923160862e-11
ENSMUSG00000057610,Ighv1-73,22.5569733394,1.21350996063,0.0537975526401,3.27743429305e-6
ENSMUSG00000035407,Kank4,180.766201431,9.74672624062,0.0539189636307,6.44495355626e-28
ENSMUSG00000044243,Bhlha9,44.6314945714,2.40769664345,0.0539461352699,3.07551798874e-10
ENSMUSG00000036123,Slc9a3,268.142391492,14.4848264163,0.05401915876,1.65790520436e-33
ENSMUSG00000031394,Opn1mw,11.037260616,0.59709334141,0.0540979652636,0.00139288851557
ENSMUSG00000029195,Klb,33.1064056795,1.79128002423,0.0541067502636,2.26885185152e-8
ENSMUSG00000071766,Rhox12,235.647465963,12.7515162255,0.0541126813027,7.06747804571e-32
ENSMUSG00000051062,Fbll1,11.0318844475,0.59709334141,0.0541243288261,0.00144858080813
ENSMUSG00000027869,Hsd3b6,155.475800502,8.41727661315,0.0541388215143,1.17541187768e-25
